Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2025-01-01 00:00:00,100,27.0,1.0,-9999.0,1.0,-9999.0,1.0,6.0064,1.0,9.5425,1.0,15.5488,1.0,4.2,1.0,-9999.0,1.0,-9999.0,3.1,-9999.0,1.0,189.805,1.0,82.689,1.0,641.638,1.0,0.0,1.0,-9999.0,1.0,19.87,1.0,2.262,1.0
2025-01-01 01:00:00,100,42.0,1.0,-9999.0,1.0,-9999.0,1.0,7.565,1.0,9.4123,1.0,16.9773,1.0,3.9,1.0,-9999.0,1.0,3.8787,3.1,-9999.0,1.0,187.797,1.0,82.815,1.0,641.588,1.0,0.0,1.0,-9999.0,1.0,19.74,1.0,1.777,1.0
2025-01-01 02:00:00,100,37.0,1.0,-9999.0,1.0,-9999.0,1.0,12.8522,1.0,10.3979,1.0,23.2501,1.0,2.2,1.0,-9999.0,1.0,4.10942,3.1,-9999.0,1.0,178.042,1.0,83.137,1.0,641.295,1.0,0.02,1.0,-9999.0,1.0,19.626,1.0,2.403,1.0
2025-01-01 03:00:00,100,31.0,1.0,-9999.0,1.0,-9999.0,1.0,7.9569,1.0,9.1473,1.0,17.1042,1.0,3.0,1.0,-9999.0,1.0,3.80859,3.1,-9999.0,1.0,190.86,1.0,84.29,1.0,641.159,1.0,0.0,1.0,-9999.0,1.0,19.265,1.0,3.053,1.0
2025-01-01 04:00:00,100,32.0,1.0,-9999.0,1.0,-9999.0,1.0,7.1574,1.0,7.5591,1.0,14.7165,1.0,3.6,2.3,-9999.0,1.0,3.94867,3.1,-9999.0,1.0,178.644,1.0,84.764,1.0,641.24,1.0,0.0,1.0,-9999.0,1.0,19.052,1.0,2.517,1.0
2025-01-01 05:00:00,100,29.0,1.0,-9999.0,1.0,-9999.0,1.0,5.8455,1.0,6.9699,1.0,12.8154,1.0,3.6,2.3,-9999.0,1.0,3.8,3.1,-9999.0,1.0,186.796,1.0,84.601,1.0,641.515,1.0,0.0,1.0,-9999.0,1.0,18.806,1.0,1.753,1.0
2025-01-01 06:00:00,100,18.0,1.0,-9999.0,1.0,-9999.0,1.0,13.5614,1.0,8.7114,1.0,22.2728,1.0,2.5,1.0,-9999.0,1.0,3.76892,3.1,-9999.0,1.0,172.136,1.0,83.983,1.0,642.213,1.0,0.0,1.0,-9999.0,1.0,18.832,1.0,1.678,1.0
2025-01-01 07:00:00,100,19.0,1.0,-9999.0,1.0,-9999.0,1.0,10.8016,1.0,9.0143,1.0,19.8159,1.0,2.4,1.0,-9999.0,1.0,3.58822,3.1,-9999.0,1.0,169.005,1.0,82.465,1.0,642.796,1.0,0.0,1.0,-9999.0,1.0,19.167,1.0,1.778,1.0
2025-01-01 08:00:00,100,22.0,1.0,-9999.0,1.0,-9999.0,1.0,11.9061,1.0,7.1253,1.0,19.0314,1.0,4.1,1.0,-9999.0,1.0,3.5456,3.1,-9999.0,1.0,338.313,1.0,76.415,1.0,643.048,1.0,0.0,1.0,-9999.0,1.0,20.482,1.0,0.999,1.0
2025-01-01 09:00:00,100,26.0,1.0,-9999.0,1.0,-9999.0,1.0,7.4567,1.0,5.519,1.0,12.9758,1.0,9.2,1.0,-9999.0,1.0,3.64511,3.1,-9999.0,1.0,330.166,1.0,70.549,1.0,643.014,1.0,0.0,1.0,-9999.0,1.0,21.676,1.0,1.567,1.0
2025-01-01 10:00:00,100,21.0,1.0,-9999.0,1.0,-9999.0,1.0,6.3085,1.0,6.2991,1.0,12.6076,1.0,16.1,1.0,-9999.0,1.0,3.42437,3.1,-9999.0,1.0,152.658,1.0,64.233,1.0,642.132,1.0,0.0,1.0,-9999.0,1.0,23.31,1.0,0.234,1.0
2025-01-01 11:00:00,100,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,2.1503,1.0,3.0326,1.0,5.1829,1.0,26.8,1.0,-9999.0,1.0,2.87186,3.1,-9999.0,1.0,185.013,1.0,66.029,1.0,641.373,1.0,0.0,1.0,-9999.0,1.0,23.616,1.0,1.237,1.0
2025-01-01 12:00:00,100,29.0,1.0,-9999.0,1.0,-9999.0,1.0,2.1682,1.0,9.9172,1.0,12.0854,1.0,35.1,1.0,-9999.0,1.0,2.94992,3.1,-9999.0,1.0,103.702,1.0,62.229,1.0,640.418,1.0,0.0,1.0,-9999.0,1.0,24.3,1.0,0.154,1.0
2025-01-01 13:00:00,100,23.0,1.0,-9999.0,1.0,-9999.0,1.0,1.8253,1.0,9.6284,1.0,11.4537,1.0,40.1,1.0,-9999.0,1.0,2.92867,3.1,-9999.0,1.0,137.358,1.0,58.814,1.0,639.621,1.0,0.0,1.0,-9999.0,1.0,25.176,1.0,0.767,1.0
2025-01-01 14:00:00,100,28.0,1.0,-9999.0,1.0,-9999.0,1.0,1.4067,1.0,7.2729,1.0,8.6796,1.0,45.6,1.0,-9999.0,1.0,2.71172,3.1,-9999.0,1.0,183.925,1.0,60.67,1.0,639.161,1.0,0.0,1.0,-9999.0,1.0,25.195,1.0,2.473,1.0
